country_name,market,checked_content,added_domain
United States,print,,
United States,digital,,
United Kingdom,print,,
United Kingdom,digital,,
Germany,print,,
Germany,digital,,
France,print,,
France,digital,,
Italy,print,,
Italy,digital,,
Spain,print,,
Spain,digital,,
Portugal,print,,
Portugal,digital,,
Ireland,print,,
Ireland,digital,,
Norway,print,,
Norway,digital,,
Sweden,print,,
Sweden,digital,,
Finland,print,,
Finland,digital,,
Denmark,print,,
Denmark,digital,,
Belgium (flemish),print,,
Belgium (flemish),digital,,
Belgium (french),print,,
Belgium (french),digital,,
Netherlands,print,,
Netherlands,digital,,
Switzerland (german),print,,
Switzerland (german),digital,,
Switzerland (french),print,,
Switzerland (french),digital,,
Austria,print,,
Austria,digital,,
Hungary,print,,
Hungary,digital,,
Czechia,print,,
Czechia,digital,,
Poland,print,,
Poland,digital,,
Greece,print,,
Greece,digital,,
Turkey,print,,
Turkey,digital,,
Canada (english),print,,
Canada (english),digital,,
Canada (french),print,,
Canada (french),digital,,
