country,submarket,year,list_type,brand,weekly_reach_pct,outlet_id,domain,notes,source
USA,,2016,offline,Local televison news,33,usa_local_tv,,"printed spelling (typo); generic category, not a single outlet","DNR 2016, p. 33"
USA,,2016,offline,Fox News,31,usa_fox,,,"DNR 2016, p. 33"
USA,,2016,offline,NBC/MSNBC News,25,usa_nbc_msnbc,,,"DNR 2016, p. 33"
USA,,2016,offline,ABC News,24,usa_abc,,,"DNR 2016, p. 33"
USA,,2016,offline,A regional or local newspaper,24,usa_local_newspaper,,"generic category, not a single outlet","DNR 2016, p. 33"
USA,,2016,offline,CBS News,24,usa_cbs,,,"DNR 2016, p. 33"
USA,,2016,offline,CNN,24,usa_cnn,,,"DNR 2016, p. 33"
USA,,2016,offline,Local radio news,18,usa_local_radio,,"generic category, not a single outlet","DNR 2016, p. 33"
USA,,2016,offline,BBC News,10,usa_bbc,,,"DNR 2016, p. 33"
USA,,2016,offline,"City paper (e.g. Boston Globe, Chicago Tribune etc)",9,usa_city_paper,,"generic category, not a single outlet","DNR 2016, p. 33"
USA,,2016,offline,PBS News,9,usa_pbs,,,"DNR 2016, p. 33"
USA,,2016,offline,NPR News,9,usa_npr,,,"DNR 2016, p. 33"
USA,,2016,offline,New York Times,8,usa_new_york_times,,,"DNR 2016, p. 33"
USA,,2016,offline,USA Today,8,usa_usa_today,,,"DNR 2016, p. 33"
USA,,2016,offline,A free city paper such as Metro,6,usa_free_city_paper,,"generic category, not a single outlet","DNR 2016, p. 33"
USA,,2016,offline,Washington Post,5,usa_washington_post,,,"DNR 2016, p. 33"
USA,,2016,online,Yahoo News,28,usa_yahoo,,,"DNR 2016, p. 33"
USA,,2016,online,Huffington Post,25,usa_huffington_post,,,"DNR 2016, p. 33"
USA,,2016,online,Fox News online,22,usa_fox,,,"DNR 2016, p. 33"
USA,,2016,online,CNN online,21,usa_cnn,,,"DNR 2016, p. 33"
USA,,2016,online,Local television news online,21,usa_local_tv,,"generic category, not a single outlet","DNR 2016, p. 33"
USA,,2016,online,Website of a local newspaper,20,usa_local_newspaper,,"generic category, not a single outlet","DNR 2016, p. 33"
USA,,2016,online,MSN News,17,usa_msn,,,"DNR 2016, p. 33"
USA,,2016,online,BuzzFeed News,16,usa_buzzfeed,,,"DNR 2016, p. 33"
USA,,2016,online,NBC/MSNBC News,16,usa_nbc_msnbc,,,"DNR 2016, p. 33"
USA,,2016,online,New York Times online,14,usa_new_york_times,,,"DNR 2016, p. 33"
USA,,2016,online,ABC News online,13,usa_abc,,,"DNR 2016, p. 33"
USA,,2016,online,Washington Post online,12,usa_washington_post,,,"DNR 2016, p. 33"
USA,,2016,online,CBS News online,12,usa_cbs,,,"DNR 2016, p. 33"
USA,,2016,online,Website of a city paper,12,usa_city_paper,,"generic category, not a single outlet","DNR 2016, p. 33"
USA,,2016,online,USA Today online,11,usa_usa_today,,,"DNR 2016, p. 33"
USA,,2016,online,BBC News online,10,usa_bbc,,,"DNR 2016, p. 33"
GBR,,2016,offline,BBC News,66,gbr_bbc,,,"DNR 2016, p. 35"
GBR,,2016,offline,ITV News,31,gbr_itv,,,"DNR 2016, p. 35"
GBR,,2016,offline,Sky News,22,gbr_sky,,,"DNR 2016, p. 35"
GBR,,2016,offline,The Sun (and Sunday),14,gbr_sun,,,"DNR 2016, p. 35"
GBR,,2016,offline,Daily Mail (and Sunday),13,gbr_daily_mail,,,"DNR 2016, p. 35"
GBR,,2016,offline,Daily Mirror (and Sunday),11,gbr_daily_mirror,,,"DNR 2016, p. 35"
GBR,,2016,offline,Regional or local newspaper,11,gbr_local_newspaper,,"generic category, not a single outlet","DNR 2016, p. 35"
GBR,,2016,offline,Metro,11,gbr_metro,,,"DNR 2016, p. 35"
GBR,,2016,offline,Channel 4 News,9,gbr_channel_4,,,"DNR 2016, p. 35"
GBR,,2016,offline,Commercial radio news,9,gbr_commercial_radio,,"generic category, not a single outlet","DNR 2016, p. 35"
GBR,,2016,offline,The Times/Sunday Times,7,gbr_times,,,"DNR 2016, p. 35"
GBR,,2016,offline,Daily Telegraph (and Sunday),6,gbr_telegraph,,,"DNR 2016, p. 35"
GBR,,2016,offline,London Evening Standard,5,gbr_london_evening_standard,,,"DNR 2016, p. 35"
GBR,,2016,offline,The Guardian/Observer,4,gbr_guardian,,,"DNR 2016, p. 35"
GBR,,2016,offline,Channel 5 News,4,gbr_channel_5,,,"DNR 2016, p. 35"
GBR,,2016,offline,‘i’,3,gbr_i,,"kept separate from The Independent (sister paper, sold to Johnston Press Apr 2016)","DNR 2016, p. 35"
GBR,,2016,online,BBC News online,51,gbr_bbc,,,"DNR 2016, p. 35"
GBR,,2016,online,Mail Online,17,gbr_daily_mail,,,"DNR 2016, p. 35"
GBR,,2016,online,Huffington Post,14,gbr_huffington_post,,,"DNR 2016, p. 35"
GBR,,2016,online,The Guardian online,14,gbr_guardian,,,"DNR 2016, p. 35"
GBR,,2016,online,Sky News online,11,gbr_sky,,,"DNR 2016, p. 35"
GBR,,2016,online,Website of a local paper,11,gbr_local_newspaper,,"generic category, not a single outlet","DNR 2016, p. 35"
GBR,,2016,online,Buzzfeed News,9,gbr_buzzfeed,,,"DNR 2016, p. 35"
GBR,,2016,online,The Telegraph online,9,gbr_telegraph,,,"DNR 2016, p. 35"
GBR,,2016,online,The Mirror online,8,gbr_daily_mirror,,,"DNR 2016, p. 35"
GBR,,2016,online,MSN News,8,gbr_msn,,,"DNR 2016, p. 35"
GBR,,2016,online,Yahoo News,7,gbr_yahoo,,,"DNR 2016, p. 35"
GBR,,2016,online,The Independent/i100 online,6,gbr_independent,,,"DNR 2016, p. 35"
GBR,,2016,online,ITV News online,5,gbr_itv,,,"DNR 2016, p. 35"
GBR,,2016,online,The Sun online,5,gbr_sun,,,"DNR 2016, p. 35"
GBR,,2016,online,The Lad Bible,4,gbr_lad_bible,,,"DNR 2016, p. 35"
GBR,,2016,online,The Times online,2,gbr_times,,,"DNR 2016, p. 35"
DEU,,2016,offline,"ARD (inc. Tagesschau, Tagesthemen, etc)",54,deu_ard,,,"DNR 2016, p. 37"
DEU,,2016,offline,"ZDF (inc. heute, heute-journal, etc)",46,deu_zdf,,,"DNR 2016, p. 37"
DEU,,2016,offline,RTL aktuell,35,deu_rtl,,,"DNR 2016, p. 37"
DEU,,2016,offline,A regional or local newspaper,32,deu_local_newspaper,,"generic category, not a single outlet","DNR 2016, p. 37"
DEU,,2016,offline,n-tv,24,deu_n_tv,,,"DNR 2016, p. 37"
DEU,,2016,offline,N24,24,deu_n24,,,"DNR 2016, p. 37"
DEU,,2016,offline,Public radio news,20,deu_public_radio,,"generic category, not a single outlet","DNR 2016, p. 37"
DEU,,2016,offline,Regional TV news,19,deu_regional_tv,,"generic category, not a single outlet","DNR 2016, p. 37"
DEU,,2016,offline,Sat.1 Nachrichten,17,deu_sat_1_nachrichten,,,"DNR 2016, p. 37"
DEU,,2016,offline,Commercial radio news,14,deu_commercial_radio,,"generic category, not a single outlet","DNR 2016, p. 37"
DEU,,2016,offline,Bild (inc. Sunday edition),10,deu_bild,,,"DNR 2016, p. 37"
DEU,,2016,offline,ProSieben Newstime,10,deu_prosieben_newstime,,,"DNR 2016, p. 37"
DEU,,2016,offline,Der Spiegel,10,deu_spiegel,,,"DNR 2016, p. 37"
DEU,,2016,offline,Focus,8,deu_focus,,,"DNR 2016, p. 37"
