country,submarket,year,list_type,brand,weekly_reach_pct,outlet_id,domain,notes,source,brand_type,is_aggregator,domain_valid_from,domain_valid_to,sample_type,fieldwork_start,fieldwork_end,sample_size,human_checked
SWE,single-market,2016,offline,SVT news,57,swe_svt,svt.se,,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,offline,TV4 news,50,swe_tv4,tv4.se,DNR 2018 printed the brand as 'Tv4.se'. TV4's news output sits under tv4.se (TV4 Nyheterna); nyheterna.se is a redirect into it. UNVERIFIED: article-bearing path not yet tested.,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,offline,SR news,40,swe_sr,sverigesradio.se,DNR 2018 printed the brand as 'Sr.se'; sr.se is Sveriges Radio's short domain and articles are published at sverigesradio.se. UNVERIFIED: which host carried articles in each year still needs the Stage 3/4 checks.,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,offline,Aftonbladet,19,swe_aftonbladet,aftonbladet.se,,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,offline,Metro,16,swe_metro,metro.se,"Free daily Metro; the Swedish print edition ceased in August 2019 and the title was wound down thereafter, but the DNR still lists it in 2020 at 2%. UNVERIFIED: metro.se ownership/operation after 2019 not yet checked.","DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,offline,A regional or local newspaper,15,cat_regional_local_press,,"Survey aggregate, not a brand - no domain exists.","DNR 2016, p. 51",category,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,offline,Expressen,14,swe_expressen,expressen.se,,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,offline,Dagens Nyheter,13,swe_dn,dn.se,,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,offline,Svenska Dagbladet,12,swe_svd,svd.se,,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,offline,Göteborgs-Posten,9,swe_gp,gp.se,,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,offline,Dagens Industri,8,swe_di,di.se,,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,offline,CNN,8,usa_cnn,cnn.com,,"DNR 2016, p. 51",foreign,FALSE,,,national,2016-01,2016-02,2030,
