domain	year	live	used_in_csv	first_capture
aftonbladet.se	2016	yes	yes	20160101002008 http://www.aftonbladet.se/ 200
aftonbladet.se	2017	yes	yes	20170101002453 http://www.aftonbladet.se/ 200
aftonbladet.se	2018	yes	yes	20180101004700 http://www.aftonbladet.se/ -
aftonbladet.se	2019	yes	yes	20190101031154 http://www.aftonbladet.se/ -
aftonbladet.se	2020	yes	yes	20200101000023 http://www.aftonbladet.se/ -
aftonbladet.se	2021	yes	yes	20210101001434 http://www.aftonbladet.se/ -
aftonbladet.se	2022	yes	yes	20220101001351 http://www.aftonbladet.se/ 200
aftonbladet.se	2023	yes	yes	20230101000353 http://www.aftonbladet.se/ 200
aftonbladet.se	2024	yes	yes	20240101000635 https://www.aftonbladet.se/ 200
aftonbladet.se	2025	yes	yes	20250101042208 http://www.aftonbladet.se/ 301
aftonbladet.se	2026	yes	yes	20260101005043 https://www.aftonbladet.se/ 200
avpixlat.info	2016	yes	no	20160101002727 http://avpixlat.info/ 200
avpixlat.info	2017	yes	no	20170101003216 http://avpixlat.info/ 200
avpixlat.info	2018	yes	no	20180101005311 http://avpixlat.info/ -
avpixlat.info	2019	yes	no	20190101011906 http://avpixlat.info/ -
avpixlat.info	2020	yes	no	20200106080746 http://avpixlat.info/ 301
avpixlat.info	2021	yes	no	20210127205208 http://avpixlat.info/ -
avpixlat.info	2022	yes	no	20220122144954 http://avpixlat.info/ 301
avpixlat.info	2023	yes	no	20230203112714 https://avpixlat.info/ -
avpixlat.info	2024	yes	no	20240120020236 http://www.avpixlat.info/ 523
avpixlat.info	2025	yes	no	20250103172141 http://avpixlat.info/ 301
avpixlat.info	2026	yes	no	20260101005117 http://avpixlat.info/ 301
bbc.co.uk	2016	yes	yes	20160101001142 http://www.bbc.co.uk/ 200
bbc.co.uk	2017	yes	yes	20170101000955 http://www.bbc.co.uk/ 200
bbc.co.uk	2018	yes	yes	20180101000523 http://bbc.co.uk/ 301
bbc.co.uk	2019	yes	yes	20190101011219 http://bbc.co.uk/ 301
bbc.co.uk	2020	yes	yes	20200101000824 https://www.bbc.co.uk/ 200
bbc.co.uk	2021	yes	yes	20210101015636 http://www.bbc.co.uk/ 302
bbc.co.uk	2022	yes	yes	20220101001702 http://www.bbc.co.uk/ 200
bbc.co.uk	2023	yes	yes	20230101000205 https://www.bbc.co.uk/ 200
bbc.co.uk	2024	yes	yes	20240101000404 https://www.bbc.co.uk/ 200
bbc.co.uk	2025	yes	yes	20250101000744 https://bbc.co.uk/ 301
bbc.co.uk	2026	yes	yes	20260101005129 https://www.bbc.co.uk/ 200
buzzfeed.com	2016	yes	no	20160101025510 http://buzzfeed.com/ 301
buzzfeed.com	2017	yes	no	20170101095258 http://buzzfeed.com/ 301
buzzfeed.com	2018	yes	no	20180101014956 https://www.buzzfeed.com/ -
buzzfeed.com	2019	yes	no	20190101004918 http://www.buzzfeed.com/ 301
buzzfeed.com	2020	yes	no	20200101002915 http://www.buzzfeed.com/ 301
buzzfeed.com	2021	yes	no	20210101005004 https://www.buzzfeed.com/ 200
buzzfeed.com	2022	yes	no	20220101010404 http://buzzfeed.com/ 301
buzzfeed.com	2023	yes	no	20230101000513 http://www.buzzfeed.com/ 301
buzzfeed.com	2024	yes	no	20240101000952 http://buzzfeed.com/ 301
buzzfeed.com	2025	yes	no	20250101000145 https://www.buzzfeed.com/ 200
buzzfeed.com	2026	yes	no	20260101004057 https://www.buzzfeed.com/ 200
buzzfeednews.com	2020	yes	yes	20200101023311 https://www.buzzfeednews.com/ 200
cnn.com	2016	yes	yes	20160101000201 http://www.cnn.com/ 200
cnn.com	2017	yes	yes	20170101011458 http://www.cnn.com/ 200
cnn.com	2018	yes	yes	20180101000001 http://www.cnn.com 200
cnn.com	2019	yes	yes	20190101001031 https://cnn.com/ 301
cnn.com	2020	yes	yes	20200101002310 http://www.cnn.com/ 301
cnn.com	2021	yes	yes	20210101003658 http://cnn.com/ 301
cnn.com	2022	yes	yes	20220101002027 http://www.cnn.com/ 301
cnn.com	2023	yes	yes	20230101000203 http://www.cnn.com/ 301
cnn.com	2024	yes	yes	20240101000334 https://www.cnn.com/ 302
cnn.com	2025	yes	yes	20250101010524 http://cnn.com/ 301
cnn.com	2026	yes	yes	20260101000332 http://www.cnn.com/ 301
di.se	2016	yes	yes	20160101002348 http://www.di.se/ 200
di.se	2017	yes	yes	20170101002844 http://www.di.se/ 200
di.se	2018	yes	yes	20180101005015 http://www.di.se/ -
di.se	2019	yes	yes	20190101003428 http://www.di.se/ -
di.se	2020	yes	yes	20200101000650 http://www.di.se/ -
di.se	2021	yes	yes	20210101022954 http://www.di.se/ 301
di.se	2022	yes	yes	20220101002231 http://www.di.se/ 301
di.se	2023	yes	yes	20230101003846 http://www.di.se/ 301
di.se	2024	yes	yes	20240101000648 http://www.di.se/ 301
di.se	2025	yes	yes	20250103054818 http://di.se/ 301
