domain	year	live	used_in_csv
20min.ch	2016	yes	yes
20min.ch	2017	yes	yes
20min.ch	2018	yes	yes
20min.ch	2019	yes	yes
20min.ch	2020	?	yes
20min.ch	2021	yes	yes
20min.ch	2022	yes	yes
20min.ch	2023	yes	yes
20min.ch	2024	yes	yes
20min.ch	2025	yes	yes
20min.ch	2026	yes	yes
20minuten.ch	2016	yes	no
20minuten.ch	2017	yes	no
20minuten.ch	2018	yes	no
20minuten.ch	2019	yes	no
20minuten.ch	2020	yes	no
20minuten.ch	2021	yes	no
20minuten.ch	2022	yes	no
20minuten.ch	2023	yes	no
20minuten.ch	2024	yes	no
20minuten.ch	2025	yes	no
20minuten.ch	2026	yes	no
24heures.ch	2016	yes	yes
24heures.ch	2017	yes	yes
24heures.ch	2018	yes	yes
24heures.ch	2019	yes	yes
24heures.ch	2020	yes	yes
24heures.ch	2021	yes	yes
24heures.ch	2022	yes	yes
24heures.ch	2023	yes	yes
24heures.ch	2024	yes	yes
24heures.ch	2025	yes	yes
24heures.ch	2026	yes	yes
arcinfo.ch	2021	yes	yes
arcinfo.ch	2022	yes	yes
bbc.co.uk	2018	yes	yes
bbc.co.uk	2021	yes	yes
bbc.co.uk	2022	yes	yes
bbc.co.uk	2023	yes	yes
bbc.co.uk	2024	yes	yes
bbc.co.uk	2025	yes	yes
bbc.co.uk	2026	yes	yes
blick.ch	2016	yes	yes
blick.ch	2017	yes	yes
blick.ch	2018	yes	yes
blick.ch	2019	yes	yes
blick.ch	2020	yes	yes
blick.ch	2021	yes	yes
blick.ch	2022	yes	yes
blick.ch	2023	yes	yes
blick.ch	2024	yes	yes
blick.ch	2025	yes	yes
blick.ch	2026	yes	yes
blickamabend.ch	2016	yes	no
blickamabend.ch	2017	yes	yes
blickamabend.ch	2018	yes	no
blickamabend.ch	2019	yes	no
blickamabend.ch	2020	yes	no
blickamabend.ch	2021	yes	no
blickamabend.ch	2022	yes	no
blickamabend.ch	2023	yes	no
blickamabend.ch	2024	yes	no
blickamabend.ch	2025	yes	no
blickamabend.ch	2026	yes	no
bluenews.ch	2016	NO	no
bluenews.ch	2017	NO	no
bluenews.ch	2018	NO	no
bluenews.ch	2019	NO	no
bluenews.ch	2020	yes	no
bluenews.ch	2021	yes	no
bluenews.ch	2022	yes	no
bluenews.ch	2023	?	no
bluenews.ch	2024	yes	no
bluenews.ch	2025	yes	no
bluenews.ch	2026	yes	no
bluewin.ch	2016	yes	yes
bluewin.ch	2017	yes	yes
bluewin.ch	2018	yes	yes
bluewin.ch	2019	yes	yes
bluewin.ch	2020	yes	yes
bluewin.ch	2021	yes	yes
bluewin.ch	2022	yes	yes
bluewin.ch	2023	yes	yes
bluewin.ch	2024	yes	yes
bluewin.ch	2025	yes	yes
bluewin.ch	2026	yes	yes
cnn.com	2018	yes	yes
cnn.com	2019	yes	yes
cnn.com	2020	yes	yes
cnn.com	2021	yes	yes
cnn.com	2022	yes	yes
cnn.com	2024	yes	yes
cnn.com	2025	yes	yes
cnn.com	2026	yes	yes
gmx.ch	2017	yes	yes
gmx.ch	2018	yes	yes
gmx.ch	2019	yes	yes
gmx.ch	2020	yes	yes
gmx.ch	2021	yes	yes
gmx.ch	2022	yes	yes
gmx.ch	2023	yes	yes
gmx.ch	2024	yes	yes
gmx.ch	2025	yes	yes
gmx.ch	2026	yes	yes
laliberte.ch	2020	yes	yes
laliberte.ch	2021	yes	yes
lematin.ch	2016	yes	yes
lematin.ch	2017	yes	yes
lematin.ch	2018	yes	yes
lematin.ch	2019	yes	yes
lematin.ch	2020	yes	yes
lematin.ch	2021	yes	yes
lematin.ch	2022	yes	yes
lematin.ch	2023	yes	yes
lematin.ch	2024	yes	yes
